Gold kiwi fruit,P85204
Kiwi fruit,P86137
Common ragweed,AAB51146
Cashew,AAL91665
Celery,ACV04796
Peanut,AAK96887
Mugwort,P0C088
Brazil nut,AAA33010
Indian mustard,P80207
Rape,P80208
Turnip,CAA46782
Hemp,CCK33472
Pecan,AAO32314
Lemon,P84160
Sweet orange,P84161
European hazel,ACO56333
European hazel,AAK28533
Common buckwheat,ABC18306
Tartarian buckwheat,ADW27428
Strawberry,CAC86258
Soybean,Q9S8F3
Sunflower,AAP47226
Para rubber tree,AAL25839
Barley,CAA45085
Black walnut,AAM54365
English walnut,AAB41308
Lentil,AAX35807
Apple,AAT80633
Black mulberry,P85894
Pellitory-of-the-Wall,CAA54587
Kidney bean,ADC80502
Stone pine,CTQ87571.1
Garden pea,AJG44053
Pistachio,ABG73108
Oriental plane tree,ABY21307
Apricot,P81651
Sweet cherry,AAF26449
Plum,P82534
Almond,ACN11576
Peach,P81402
Pomegranate,AHB19227
Pear,AAF26451
Castor bean,CAA38097
Red raspberry,ABG54494
Rye,Q9S8H2
Sesame,AAK15088
Yellow mustard,CAA62909
Tomato,AAB42069
Wheat,BAN29066
Grape,AAO33394
Maize,AAA33493