CAM31908,Gold kiwi fruit
P85524,Kiwi fruit 1
CAM31909,Kiwi fruit
AAB24432,European alder
CAA88831,Celery
AAQ91847,Peanut
CAA33887,European white birch
CAA47366,European hornbeam
ACJ23861,Sweet chestnut
CAA50327,European hazel
AAB01092,Carrot
ACJ23864,European beech
CAJ29538,Strawberry
CAA42646,Soybean
CAA58646,Apple
ADK39021,European hop hornbeam
AAB97141,Apricot
AAC02632,Sweet cherry
ABB78006,Peach
AAC13315,Pear
ABZ81045,White oak
ABG54495,Red raspberry
AHC08073,Tomato
AAX19889,Mung bean 1
BAA74451,Mung bean